Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/stack/opendaylight/distribution-karaf-0.3.1-SNAPSHOT/lock
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2015-11-11 22:32:58,453 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-yangtools-binding 0.7.1-SNAPSHOT
2015-11-11 22:32:58,466 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-mdsal-broker 1.2.1-SNAPSHOT
2015-11-11 22:32:58,466 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-mdsal-remoterpc-connector 1.2.1-SNAPSHOT
2015-11-11 22:32:58,466 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-mdsal-broker-local 1.2.1-SNAPSHOT
2015-11-11 22:32:58,467 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-yangtools-models 0.7.1-SNAPSHOT
2015-11-11 22:32:58,562 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-mdsal-common 1.2.1-SNAPSHOT
2015-11-11 22:32:58,563 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-yangtools-data-binding 0.7.1-SNAPSHOT
2015-11-11 22:32:58,665 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-startup 0.3.1-SNAPSHOT
2015-11-11 22:32:58,665 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-netconf-connector 0.3.1-SNAPSHOT
2015-11-11 22:32:58,665 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-manager 0.3.1-SNAPSHOT
2015-11-11 22:32:58,666 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-core 0.3.1-SNAPSHOT
2015-11-11 22:32:58,666 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-yangtools-binding-generator 0.7.1-SNAPSHOT
2015-11-11 22:32:58,738 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-api 0.3.1-SNAPSHOT
2015-11-11 22:32:58,790 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-api 0.3.1-SNAPSHOT
2015-11-11 22:32:58,791 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-protocol-framework 0.6.1-SNAPSHOT
2015-11-11 22:32:58,791 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-netty-config-api 0.3.1-SNAPSHOT
